ref,mark_usd,mark_source,confidence,n_sources,spread_pct,as_of,msrp_usd
116598SACO,110798.03,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116599RBR,70148.97,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116600,13109.0,manual_check,VERIFIED,2,21.2,2026-08-09,
116610,11129.0,manual_check,VERIFIED,2,0.3,2026-08-09,
116610LN,10059.74,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116610LV,18663.0,manual_check,VERIFIED,2,1.8,2026-08-09,
116613LB,12860.64,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116613LN,11983.78,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116613LNBK,12648.07,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116618LB,32948.0,manual_check,VERIFIED,2,1.6,2026-08-09,
116618LN,31584.0,manual_check,VERIFIED,2,20.5,2026-08-09,
116619,39122.0,manual_check,VERIFIED,1,0.0,2026-08-09,
116619GLB,49243.57,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116619LB,38289.64,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116621,12100.7,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116622,12143.0,manual_check,VERIFIED,2,6.2,2026-08-09,
116660,11000.0,manual_check,VERIFIED,2,4.5,2026-06,12950.0
116680,15999.0,manual_check,VERIFIED,2,3.3,2026-08-09,20300.0
116681,20108.0,manual_check,VERIFIED,2,411.3,2026-08-09,
116688,37912.0,manual_check,VERIFIED,1,0.0,2026-08-09,
116689,28783.0,manual_check,VERIFIED,2,19.6,2026-08-09,
116695SATS,92362.81,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116710,12077.0,manual_check,VERIFIED,1,0.0,2026-08-09,
116710BLNR,13737.5,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116710LN,11537.6,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116711CHNR,17244.95,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116713LN,13163.0,manual_check,VERIFIED,2,7.6,2026-08-09,
116718,37515.0,manual_check,VERIFIED,1,0.0,2026-08-09,
116718LN,36126.72,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116718LNGRE,40813.94,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116719,31856.0,manual_check,VERIFIED,1,0.0,2026-08-09,
116719BLRO,37093.93,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116758SARU,103523.42,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116900,6982.0,manual_check,VERIFIED,2,0.9,2026-08-09,
117.025,33980.0,manual_check,VERIFIED,1,0.0,2026-08-09,
118205,31567.04,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
118205FA,34845.86,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
118206,31757.52,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
118208,22596.0,manual_check,VERIFIED,1,0.0,2026-08-09,
118209,22684.36,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
118235,29295.0,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
